departement,nom_reel,pop_2012,longitude_degre,latitude_degre
40,Dax,20500,-1.05,43.7167
77,Ozoir-la-Ferrière,20500,2.66667,48.7667
38,Voiron,20400,5.58333,45.3667
93,Neuilly-Plaisance,20300,2.51667,48.8667
95,Saint-Gratien,20300,2.28333,48.9667
13,Pennes-Mirabeau,20200,5.31667,43.4083
59,Denain,20200,3.38333,50.3333
77,Lagny-sur-Marne,20200,2.71667,48.8667
91,Saint-Michel-sur-Orge,20200,2.3,48.6333
29,Concarneau,20100,-3.91667,47.8667
35,Fougères,20100,-1.2,48.35
45,Olivet,20100,1.9,47.8667
54,Lunéville,20100,6.5,48.6
69,Saint-Genis-Laval,20100,4.8,45.6833
77,Dammarie-les-Lys,20100,2.63445,48.5153
46,Cahors,20000,1.43333,44.4333
76,Mont-Saint-Aignan,20000,1.08333,49.4667
78,Vélizy-Villacoublay,20000,2.18333,48.8
92,Bourg-la-Reine,20000,2.31667,48.775
33,Lormont,19900,-0.533333,44.8667
59,Halluin,19900,3.13333,50.7833
68,Saint-Louis,19900,7.56667,47.5833
3,Moulins,19800,3.33333,46.5667
74,Annecy-le-Vieux,19800,6.15,45.9167
94,Arcueil,19800,2.33333,48.8
6,Mougins,19700,7,43.6
22,Lannion,19700,-3.46667,48.7333
71,Montceau-les-Mines,19700,4.36667,46.6667
78,Achères,19700,2.06667,48.9667
60,Nogent-sur-Oise,19600,2.46667,49.2667
92,Sceaux,19600,2.28333,48.7833
69,Givors,19500,4.76667,45.5833
76,Fécamp,19400,0.366667,49.75
55,Verdun,19300,5.38278,49.1598
67,Sélestat,19300,7.45,48.2667
6,Vence,19200,7.11667,43.7167
8,Sedan,19200,4.95,49.7
16,Cognac,19100,-0.333333,45.7
50,Saint-Lô,19100,-1.08333,49.1167
63,Cournon-d'Auvergne,19100,3.21667,45.75
59,Wasquehal,19000,3.15,50.6667
94,Chevilly-Larue,19000,2.35,48.7667
38,Villefontaine,18900,5.15,45.6167
43,Le Puy-en-Velay,18900,3.88583,45.0442
45,Saint-Jean-de-Braye,18900,1.96667,47.9
78,Mantes-la-Ville,18900,1.71667,48.9667
84,L'Isle-sur-la-Sorgue,18900,5.05,43.9167
84,Pertuis,18900,5.5,43.6833
95,Montigny-lès-Cormeilles,18900,2.18333,48.9833
78,Maurepas,18800,1.91667,48.7667
94,Limeil-Brévannes,18800,2.48333,48.7333
13,Allauch,18700,5.48333,43.3333
33,Eysines,18700,-0.65,44.8833
25,Pontarlier,18600,6.36667,46.9
69,Tassin-la-Demi-Lune,18600,4.78333,45.7667
79,Bressuire,18600,-0.483333,46.85
17,Royan,18500,-1.03333,45.6333
30,Bagnols-sur-Cèze,18500,4.61667,44.1667
33,Gujan-Mestras,18500,-1.06667,44.6333
73,Albertville,18500,6.38333,45.6833
77,Mitry-Mory,18500,2.61667,48.9833
94,Le Plessis-Trévise,18500,2.56667,48.8167
94,Villeneuve-le-Roi,18500,2.41667,48.7333
26,Bourg-lès-Valence,18400,4.88333,44.95
44,Couëron,18400,-1.73333,47.2167
91,Chilly-Mazarin,18400,2.3,48.7
59,Ronchin,18300,3.1,50.6
85,Challans,18300,-1.88333,46.85
27,Louviers,18200,1.16667,49.2167
56,Ploemeur,18200,-3.43333,47.7333
84,Sorgues,18200,4.86667,44
92,Garches,18200,2.18333,48.8417
39,Lons-le-Saunier,18100,5.55,46.6667
92,Chaville,18100,2.2,48.8
69,Écully,18000,4.76667,45.7667
74,Cluses,18000,6.6,46.0667
47,Marmande,17900,0.166667,44.5
74,Seynod,17900,6.08333,45.8833
63,Riom,17800,3.11667,45.9
59,Hem,17700,3.2,50.65
67,Bischheim,17700,7.75,48.6167
94,Chennevières-sur-Marne,17700,2.51667,48.8
62,Avion,17600,2.83333,50.4
78,Saint-Cyr-l'École,17600,2.06667,48.8
93,Le Pré-Saint-Gervais,17600,2.4,48.8833
42,Firminy,17500,4.3,45.3833
41,Romorantin-Lanthenay,17400,1.74361,47.3589
44,Carquefou,17400,-1.5,47.3
50,Équeurdreville-Hainneville,17400,0.345279,49.6484
62,Carvin,17400,2.96667,50.4833
94,Joinville-le-Pont,17400,2.46667,48.8167
94,Gentilly,17400,2.33333,48.8167
95,Soisy-sous-Montmorency,17400,2.3,48.9833
4,Digne-les-Bains,17300,6.23639,44.0933
7,Annonay,17200,4.66667,45.2333
13,Port-de-Bouc,17200,4.98333,43.4
38,Meylan,17200,5.78333,45.2333
76,Elbeuf,17200,1,49.2833
77,Moissy-Cramayel,17200,2.6,48.6167
78,Clayes-sous-Bois,17200,1.98333,48.8167
63,Chamalières,17100,3.06667,45.7833
69,Saint-Fons,17100,4.86667,45.7
83,Sanary-sur-Mer,17100,5.8,43.1167
44,La Chapelle-sur-Erdre,17000,-1.55,47.3
78,Marly-le-Roi,16900,2.08333,48.8667
84,Le Pontet,16900,4.85,43.9667
44,Bouguenais,16800,-1.61667,47.1833
67,Lingolsheim,16800,7.68333,48.5667
35,Vitré,16700,-1.2,48.1333
41,Vendôme,16700,1.06667,47.8
44,La Baule-Escoublac,16700,-2.36667,47.3
45,Saint-Jean-de-la-Ruelle,16700,1.86667,47.9167
59,Saint-Amand-les-Eaux,16700,3.43333,50.4333
59,Faches-Thumesnil,16700,3.06667,50.5833
95,Jouy-le-Moutier,16700,2.03333,49.0167
57,Saint-Avold,16600,6.7,49.1
95,Éragny,16600,2.1,49.0167
33,Cestas,16500,-0.683333,44.7333
59,Sin-le-Noble,16500,3.11667,50.3667
94,Bonneuil-sur-Marne,16500,2.48333,48.7667
74,Cran-Gevrier,16400,6.1,45.9
78,Le Pecq,16400,2.1,48.9
83,La Crau,16400,6.06667,43.15
34,Lattes,16300,3.9,43.5667
50,Tourlaville,16300,-1.56667,49.6333
60,Senlis,16300,2.58333,49.2
70,Vesoul,16300,6.16667,47.6333
76,Montivilliers,16300,0.2,49.55
77,Montereau-Fault-Yonne,16300,2.95,48.3833
78,Le Vésinet,16300,2.11667,48.9
91,Orsay,16300,2.18333,48.7
57,Yutz,16200,6.18862,49.3589
54,Toul,16100,5.9,48.6833
